text,audio,image
"à bord",/data-lexique/INS2/U9/à bord.m4a,
"un capitaine",/data-lexique/INS2/U9/un capitaine.m4a,
"un cargo",/data-lexique/INS2/U9/un cargo.m4a,
"un équipage",/data-lexique/INS2/U9/un équipage.m4a,
"un lever de soleil",/data-lexique/INS2/U9/un lever de soleil.m4a,
"un coucher de soleil",/data-lexique/INS2/U9/un coucher de soleil.m4a,
"la marine",/data-lexique/INS2/U9/la marine.m4a,
"un navire",/data-lexique/INS2/U9/un navire.m4a,
"un océan",/data-lexique/INS2/U9/un océan.mp3,
"un officier",/data-lexique/INS2/U9/un officier.mp3,
"une passerelle",/data-lexique/INS2/U9/une passerelle.mp3,
"un port",/data-lexique/INS2/U9/un port.mp3,
"une route maritime",/data-lexique/INS2/U9/une route maritime.mp3,
"une traversée",/data-lexique/INS2/U9/une traversée.mp3,
"une baleine",/data-lexique/INS2/U9/une baleine.mp3,
"un dauphin",/data-lexique/INS2/U9/un dauphin.mp3,
"un poisson volant",/data-lexique/INS2/U9/un poisson volant.mp3,

"une arrivée",/data-lexique/INS2/U9/une arrivée.mp3,
"une aventure",/data-lexique/INS2/U9/en train.mp3,
"une cabine",/data-lexique/INS2/U9/une cabine.mp3,
"un continent",/data-lexique/INS2/U9/un continent.mp3,
"un départ",/data-lexique/INS2/U9/un départ.mp3,
"une destination",/data-lexique/INS2/U9/une destination.mp3,
"une durée",/data-lexique/INS2/U9/une durée.mp3,
"une escale",/data-lexique/INS2/U9/une escale.mp3,
"un passager",/data-lexique/INS2/U9/un passager.mp3,
"une passagère",/data-lexique/INS2/U9/une passagère.mp3,
"en avion",/data-lexique/INS2/U9/en avion.mp3,
"en bateau",/data-lexique/INS2/U9/en bateau.mp3,
"en car",/data-lexique/INS2/U9/en car.mp3,
"en train",/data-lexique/INS2/U9/une aventure.mp3,
