audioFile,option1,option2,correctOption
data-phonetique/yu-1.mp3,[y],[u],2
data-phonetique/yu-2.mp3,[y],[u],1
data-phonetique/yu-3.m4a,[y],[u],1
data-phonetique/yu-4.m4a,[y],[u],1
data-phonetique/yu-5.m4a,[y],[u],2
data-phonetique/yu-6.m4a,[y],[u],1
data-phonetique/yu-7.m4a,[y],[u],1
data-phonetique/yu-8.m4a,[y],[u],1
data-phonetique/yu-9.m4a,[y],[u],2
data-phonetique/yu-10.m4a,[y],[u],1
data-phonetique/eɛ-1.m4a,[e],[ɛ],1
data-phonetique/eɛ-2.m4a,[e],[ɛ],1
data-phonetique/eɛ-3.m4a,[e],[ɛ],2
data-phonetique/eɛ-4.m4a,[e],[ɛ],1
data-phonetique/eɛ-5.m4a,[e],[ɛ],2
data-phonetique/eɛ-6.m4a,[e],[ɛ],2
data-phonetique/eɛ-7.m4a,[e],[ɛ],1
data-phonetique/nɲ-1.m4a,[n],[ɲ],2
data-phonetique/nɲ-2.m4a,[n],[ɲ],2
data-phonetique/nɲ-3.m4a,[n],[ɲ],1
data-phonetique/nɲ-4.m4a,[n],[ɲ],1
data-phonetique/nɲ-5.m4a,[n],[ɲ],2
data-phonetique/nɲ-6.m4a,[n],[ɲ],1
data-phonetique/nɲ-7.m4a,[n],[ɲ],2
data-phonetique/nɲ-8.m4a,[n],[ɲ],1
data-phonetique/nɲ-9.m4a,[n],[ɲ],1
data-phonetique/nɲ-10.m4a,[n],[ɲ],1
data-phonetique/kg-1.m4a,[k],[g],2
data-phonetique/kg-2.m4a,[k],[g],1
data-phonetique/kg-3.m4a,[k],[g],2
data-phonetique/kg-4.m4a,[k],[g],1
data-phonetique/kg-5.m4a,[k],[g],1
data-phonetique/kg-6.m4a,[k],[g],2
data-phonetique/kg-7.m4a,[k],[g],1
data-phonetique/fv-1.m4a,[f],[v],1
data-phonetique/fv-2.m4a,[f],[v],2
data-phonetique/fv-3.m4a,[f],[v],2
data-phonetique/fv-4.m4a,[f],[v],1
data-phonetique/fv-5.m4a,[f],[v],1
data-phonetique/fv-6.m4a,[f],[v],2
data-phonetique/lr-1.m4a,[ʁ],[l],2
data-phonetique/lr-2.m4a,[ʁ],[l],1
data-phonetique/lr-3.m4a,[ʁ],[l],2
data-phonetique/lr-4.m4a,[ʁ],[l],1
data-phonetique/lr-5.m4a,[ʁ],[l],2
data-phonetique/lr-6.m4a,[ʁ],[l],1
data-phonetique/lr-7.m4a,[ʁ],[l],1
data-phonetique/lr-8.m4a,[ʁ],[l],2
data-phonetique/lr-9.m4a,[ʁ],[l],2
data-phonetique/lr-10.m4a,[ʁ],[l],1
data-phonetique/sz-1.m4a,[s],[z],1
data-phonetique/sz-2.m4a,[s],[z],2
data-phonetique/sz-3.m4a,[s],[z],2
data-phonetique/sz-4.m4a,[s],[z],1
data-phonetique/sz-5.m4a,[s],[z],2
data-phonetique/sz-6.m4a,[s],[z],1
data-phonetique/sz-7.m4a,[s],[z],2
data-phonetique/ãɔ̃-1.m4a,[ã],[ɔ̃],1
data-phonetique/ãɔ̃-2.m4a,[ã],[ɔ̃],2
data-phonetique/ãɔ̃-3.m4a,[ã],[ɔ̃],2
data-phonetique/ãɔ̃-4.m4a,[ã],[ɔ̃],2
data-phonetique/ãɔ̃-5.m4a,[ã],[ɔ̃],1
data-phonetique/ãɔ̃-6.m4a,[ã],[ɔ̃],1
data-phonetique/ɛɛ̃-1.m4a,[ɛ],[ɛ̃],1
data-phonetique/ɛɛ̃-2.m4a,[ɛ],[ɛ̃],2
data-phonetique/ɛɛ̃-3.m4a,[ɛ],[ɛ̃],1
data-phonetique/ɛɛ̃-4.m4a,[ɛ],[ɛ̃],1
data-phonetique/ɛɛ̃-5.m4a,[ɛ],[ɛ̃],2
data-phonetique/ɛɛ̃-6.m4a,[ɛ],[ɛ̃],2
data-phonetique/pb-1.m4a,[p],[b],1
data-phonetique/pb-2.m4a,[p],[b],2
data-phonetique/pb-3.m4a,[p],[b],2
data-phonetique/pb-4.m4a,[p],[b],1
data-phonetique/pb-5.m4a,[p],[b],1
data-phonetique/pb-6.m4a,[p],[b],1
